0	18669	8928	16626	13175	4013	13206	11574	5028	12172	13208	15555	8750	8933	17976	11855	11642	12445	3275	10341	11231
1	11816	18791	5761	5844	3537	7656	3234	17449	1720	9819	16734	7457	12660	246	5267	5773	15872	10833	8244	7259
2	12458	4552	7793	15638	17459	12605	11291	18041	3176	6125	17198	6729	7151	16753	4777	13549	8521	8530	13521	7332
3	12500	5108	2244	5316	17475	7330	18923	14181	16029	4717	16030	5227	16031	18906	14624	9636	3794	5876	7811	11724
4	5051	17638	4440	3335	6312	13166	9678	11929	9722	2120	18995	18299	8286	5832	15415	2362	18119	11257	3016	6655
5	15481	6518	7819	5933	17242	18445	5827	11267	4351	8015	12002	18024	10218	8017	5534	9925	10502	15578	17255	7980
6	513	4977	455	9595	16568	3961	158	13469	7586	3830	17378	10909	5214	13809	9423	9059	11121	8242	6690	9231
7	9300	16895	2518	15572	3510	1199	1364	7895	1866	16163	8333	19021	12359	14	11161	12669	18757	17589	7269	13341
8	1978	17631	13062	94	4555	14163	10326	17059	14630	6419	18099	1840	3606	4574	17026	11054	13064	2281	5283	9180
9	17893	10212	6763	12197	12365	12198	7790	4636	13990	13756	3525	7499	7158	62	14093	13747	14998	492	7612	10422
10	18382	12345	12510	9567	18764	14156	12569	11468	17618	12110	5367	6346	6420	204	10755	17778	611	17687	18333	9079
11	11110	2029	7056	4705	8421	12091	18	2531	17815	8084	15939	934	3291	9806	6551	760	6577	4302	7227	584
12	12856	15269	16021	16264	2797	4763	16295	11726	3070	11944	6894	12283	18604	17358	16247	5296	2358	7736	17923	1592
13	17009	12866	13189	396	14935	12723	5492	11449	13668	18360	18644	2319	14996	8274	1103	14287	14231	17489	9214	3304
14	12359	19021	11161	8333	16163	1866	17589	15572	18757	6080	7269	7	1199	3510	9300	12207	1364	7895	16895	2518
15	16075	9324	5965	3379	8368	10381	7373	8789	16722	4047	18112	19051	7515	11239	10226	15890	18125	182	13076	2443
16	6601	11505	14432	6570	4359	3597	16891	11634	12785	8699	15915	15373	7353	10887	17607	4558	16857	17163	7668	11699
17	2382	11530	14280	10963	15846	18569	14040	7773	12236	17901	8159	18931	5372	11524	15768	9472	4270	18724	4626	3327
18	8421	4705	7056	2029	11	11110	934	3291	8084	15939	9806	2531	12091	17815	7227	760	6551	14162	2517	6577
19	17119	17762	170	18495	9672	18976	6772	10395	12668	13646	4129	18980	10491	1369	4095	7001	5223	10714	1722	3912
20	17590	531	9704	16148	537	3287	8557	1342	12863	225	3316	13704	3264	7585	18368	16653	12139	7180	16043	17971
21	957	17965	6560	12489	4542	13733	13973	10639	18929	18710	3968	5706	6461	8817	13995	8145	11244	5212	18439	8520
22	14669	4816	3692	2445	10312	485	4978	14015	12339	9470	11236	11144	58	3695	17585	2945	5567	16610	13513	8916
23	16820	18425	3898	5501	7679	8137	11559	4909	16483	285	4285	16366	16284	15605	8659	15632	2824	16099	11259	9259
24	30	11411	16003	18357	3585	9455	2838	14828	1847	110	15335	6415	7700	16929	8193	8630	4722	4565	15433	3594
25	17930	6011	16485	13242	11647	17307	16425	16963	3492	10619	19026	3945	13489	17124	390	9874	732	11469	4596	17711
26	13041	15429	6949	11221	16281	14158	4974	17231	11220	5709	15116	13896	15976	11175	3498	6542	8313	4684	14699	91
27	4303	13505	10110	12281	2759	17530	5993	1914	437	2179	13080	12942	3099	3844	13813	13959	7182	7183	8642	8058
28	12826	9498	12820	3607	13693	4873	3472	10934	9630	4488	19042	11937	16472	3756	9343	1066	15195	1902	10061	2670
29	10279	2172	3902	10271	98	16775	17742	12748	5031	2130	7088	9931	14020	10749	11593	11147	18792	1904	6179	13939
30	24	11411	16003	18357	3585	9455	2838	14828	1847	110	15335	6415	7700	16929	8193	8630	4722	4565	15433	3594
31	12234	4670	6657	1011	18311	18573	11691	12861	4171	13277	1154	17870	824	12882	5162	8651	13856	5085	14277	4272
32	18170	18460	2472	13701	12074	10865	4335	10927	17175	298	18104	309	12513	5453	5004	6931	3717	17261	7306	11858
33	202	13407	13413	4214	1416	5080	15496	5400	4678	3477	4017	10453	1905	3346	3659	7002	8596	13231	4472	12895
34	13945	12704	3883	5210	16556	2689	8379	16444	9258	10799	5645	206	15426	480	2725	1693	17013	5209	10610	4622
35	14954	5888	11923	6814	3414	1195	13606	7490	12773	10851	7251	5291	19028	18265	2043	11663	10159	8427	12597	16930
36	5081	3859	6584	17359	16229	15813	10442	14211	39	2225	8009	18169	7545	8108	12789	18694	16116	5701	14757	5802
37	5850	3088	705	9956	1348	9602	1525	17595	7437	16842	14723	17609	10287	4561	4562	3347	7346	4762	10564	17425
38	10436	15734	12789	36	5081	7545	3859	6584	17359	10442	15813	16229	39	2225	14211	8009	18169	610	13801	8108
39	2225	18169	14211	8009	10442	15813	16229	3859	6584	17359	5081	36	7545	8108	12789	18694	6607	11845	9359	16116
40	5640	1223	1179	8212	1568	17633	6909	1180	3381	50	6058	18126	13261	6792	1089	10527	7138	6793	13264	9845
41	12781	15709	14768	15425	7448	14780	17572	5680	1721	2328	11751	13035	18252	7208	17022	15012	6554	13611	2832	13586
42	8744	15472	15470	10305	7356	207	16197	16588	5568	1782	891	6191	1390	12229	13077	880	14821	5569	17385	6911
43	10635	14084	8296	13122	2159	14793	15172	7106	14619	15552	13960	9646	1830	16519	13068	17701	13134	18062	1039	8862
44	16026	7491	16708	4878	7488	7091	10236	3252	13718	16709	17238	16713	17496	9766	3328	5790	12202	7858	17989	2023
45	16127	7745	15368	4976	14761	4696	10040	1384	14527	3822	5350	2563	5351	1071	1464	5105	2849	9913	7560	899
46	11681	1588	13778	1296	456	6626	12760	5808	1225	17135	16157	16070	570	9365	9749	15842	11573	18643	15640	1460
47	7157	10870	6333	7000	15895	12516	16974	6283	5807	14728	4867	3721	2590	13785	15224	11146	2180	7880	13030	2178
48	426	9263	9647	18817	7996	16876	6071	15316	5608	15167	2705	1663	7983	15629	16938	17217	14016	10642	9876	5533
49	741	10007	15304	5202	5854	10683	9027	16514	16169	15580	16825	12433	12842	8308	7874	9776	13811	13722	5931	2224
50	8212	6793	13264	10527	6058	6792	1089	13261	7138	5640	40	1223	187	8796	13912	15894	18126	6060	1179	10073
51	8625	7890	3847	15272	12550	11015	10708	7368	8338	9710	17529	15523	10065	15434	12495	16000	14913	9100	10016	3361
52	11978	16100	7855	989	3710	17476	6750	4806	11520	9767	5918	14075	2819	12874	2852	15450	19000	13542	10077	2275
53	14892	9492	5077	17258	8709	15929	16617	10530	12758	5325	17252	10778	17580	13908	13880	8413	12284	7375	162	763
54	8438	14218	15525	15899	18870	16592	7670	10195	847	2967	12071	599	11422	3432	18898	7361	8056	17539	9660	17784
55	4265	8947	14654	5174	10572	4134	17571	18955	12994	12019	1276	1935	1231	17149	19048	13324	18659	3965	18143	4135
56	3269	15639	3318	16395	10105	9067	5538	15493	4254	3663	18389	3688	3449	4841	1404	8049	3807	724	136	13955
57	17651	3165	17018	18272	1970	17479	6045	4759	18701	12862	547	3926	5571	8125	2728	4613	4486	9746	3818	3935
58	11144	14015	12339	9470	11236	17585	485	3695	5567	13513	4978	2445	3692	10312	8916	4816	2945	14669	22	16610
59	6200	16762	9291	1879	3133	16564	6582	1926	16843	14815	9748	18784	3140	8330	1628	6458	7507	17222	3029	18083
60	7911	10853	10779	4739	14215	15439	4853	18994	10966	7908	2736	8190	4936	213	4019	688	2025	3468	5961	1397
61	1949	17279	11284	5137	5601	1212	17317	13553	5007	6481	6737	12106	10120	167	1357	17690	12373	12239	2671	12122
62	13747	14093	7158	7499	3525	13756	14998	7612	10422	9591	14483	14308	10479	492	3823	13990	7159	12365	15274	10212
63	10760	6280	196	16724	9613	12482	17053	8833	706	14345	7771	7117	10398	14784	12918	18067	4688	18350	11493	18922
